Samples do not have callchains.
           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
     532.386558 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.912 
     532.467922 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.194 
     532.487893 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.334 
     532.569640 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.717 
     532.591607 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.714 
     532.672129 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.489 
     532.696601 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.993 
     532.774782 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.652 
     532.800843 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.242 
     532.878447 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.665 
     532.902956 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.112 
     532.983063 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.616 
     533.006803 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.847 
     533.086317 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.254 
     533.110468 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.665 
     533.191278 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.960 
     533.213703 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.234 
     533.292383 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.105 
     533.316002 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.299 
     533.397248 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.864 
     533.418207 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.204 
     533.498662 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.414 
     533.519600 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.393 
     533.601012 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.350 
     533.624382 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.781 
     533.702911 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.898 
     533.728333 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.951 
     533.806068 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.156 
     533.833384 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    105.051 
     533.908559 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.490 
     533.936404 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.019 
     534.013129 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.570 
     534.040198 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.794 
     534.116469 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.339 
